[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  5] [Fitness : Time]: [	-89.7541472076634079 ,	0.0039459466934204]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  5] [Fitness : Time]: [	-96.6796762094938629 ,	0.0074119567871094]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  5] [Fitness : Time]: [	-118.3697547239723917 ,	0.0103260278701782]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  5] [Fitness : Time]: [	-137.5956874760485960 ,	0.0118459463119507]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  5] [Fitness : Time]: [	-137.5956874760485960 ,	0.0131254196166992]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  5] [Fitness : Time]: [	-137.5956874760485960 ,	0.0142189264297485]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  5] [Fitness : Time]: [	-138.7775744278183652 ,	0.0158144235610962]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  5] [Fitness : Time]: [	-173.5592247133241131 ,	0.0165129899978638]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  5] [Fitness : Time]: [	-173.5592247133241131 ,	0.0179949998855591]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  5] [Fitness : Time]: [	-173.5592247133241131 ,	0.0197660923004150]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  5] [Fitness : Time]: [	-173.5592247133241131 ,	0.0210459232330322]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  5] [Fitness : Time]: [	-173.5592247133241131 ,	0.0223624706268311]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  5] [Fitness : Time]: [	-179.1160333230299386 ,	0.0236964225769043]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  5] [Fitness : Time]: [	-179.1160333230299386 ,	0.0249860286712646]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  5] [Fitness : Time]: [	-179.1160333230299386 ,	0.0262625217437744]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  5] [Fitness : Time]: [	-182.2858696693945149 ,	0.0276319980621338]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  5] [Fitness : Time]: [	-182.2858696693945149 ,	0.0283179283142090]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  5] [Fitness : Time]: [	-182.2858696693945149 ,	0.0301859378814697]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  5] [Fitness : Time]: [	-182.2858696693945149 ,	0.0314970016479492]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0327810049057007]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0340610742568970]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0353900194168091]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0367540121078491]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0380500555038452]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0393489599227905]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0407359600067139]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0421179533004761]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0434789657592773]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0447450876235962]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0456449985504150]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0474020242691040]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 :  5] [Fitness : Time]: [	-183.4997987433477533 ,	0.0486609935760498]
