[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  2] [Fitness : Time]: [	25.6885502925033755 ,	0.0006209611892700]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0012030601501465]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0021849870681763]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0039565563201904]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0045984983444214]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0052925348281860]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0063954591751099]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0067604780197144]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0077545642852783]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0084170103073120]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0090464353561401]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0097055435180664]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0103610754013062]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  2] [Fitness : Time]: [	6.5759304418118756 ,	0.0108144283294678]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  2] [Fitness : Time]: [	6.3030234039458399 ,	0.0117275714874268]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0123809576034546]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0130225419998169]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0136615037918091]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0143179893493652]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0152835845947266]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0162659883499146]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0169564485549927]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0176219940185547]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0182780027389526]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0189335346221924]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0193079710006714]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0202504396438599]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0210560560226440]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0217504501342773]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  2] [Fitness : Time]: [	4.4864317331708188 ,	0.0224574804306030]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0231049060821533]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0236849784851074]
[Cycles : Iteration : Population Size : Dimension] [  2 :   32 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0239864587783813]
[Cycles : Iteration : Population Size : Dimension] [  2 :   33 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0257275104522705]
[Cycles : Iteration : Population Size : Dimension] [  2 :   34 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0264295339584351]
[Cycles : Iteration : Population Size : Dimension] [  2 :   35 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0268094539642334]
[Cycles : Iteration : Population Size : Dimension] [  2 :   36 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0277125835418701]
[Cycles : Iteration : Population Size : Dimension] [  2 :   37 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0283575057983398]
[Cycles : Iteration : Population Size : Dimension] [  2 :   38 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0290645360946655]
[Cycles : Iteration : Population Size : Dimension] [  2 :   39 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0297030210494995]
[Cycles : Iteration : Population Size : Dimension] [  2 :   40 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0303699970245361]
[Cycles : Iteration : Population Size : Dimension] [  2 :   41 :  30 :  2] [Fitness : Time]: [	4.0219003951421488 ,	0.0311545133590698]
