[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 : 10] [Fitness : Time]: [	15543.6553724314126157 ,	0.0047628879547119]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 : 10] [Fitness : Time]: [	11711.1102321231683163 ,	0.0085399150848389]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 : 10] [Fitness : Time]: [	9440.0168497007252881 ,	0.0120835304260254]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 : 10] [Fitness : Time]: [	8690.5672297786913987 ,	0.0156674385070801]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 : 10] [Fitness : Time]: [	7572.3321769764042983 ,	0.0192099809646606]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 : 10] [Fitness : Time]: [	6828.1800205492709210 ,	0.0227634906768799]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 : 10] [Fitness : Time]: [	6688.6774633499471747 ,	0.0265059471130371]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 : 10] [Fitness : Time]: [	4593.5263228042676928 ,	0.0301414728164673]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 : 10] [Fitness : Time]: [	4593.5263228042676928 ,	0.0336999893188477]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 : 10] [Fitness : Time]: [	4593.5263228042676928 ,	0.0375584363937378]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0411679744720459]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0446690320968628]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0482099056243896]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0519775152206421]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0557974576950073]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0595043897628784]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0630074739456177]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0665994882583618]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0701509714126587]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0737445354461670]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0773239135742188]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0809034109115601]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0845239162445068]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0881805419921875]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0917129516601562]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0953370332717896]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.0988605022430420]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.1024494171142578]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.1061854362487793]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 : 10] [Fitness : Time]: [	3664.2206748639778198 ,	0.1097328662872314]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1134659051895142]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1170405149459839]
[Cycles : Iteration : Population Size : Dimension] [  2 :   32 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1206244230270386]
[Cycles : Iteration : Population Size : Dimension] [  2 :   33 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1245415210723877]
[Cycles : Iteration : Population Size : Dimension] [  2 :   34 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1281689405441284]
[Cycles : Iteration : Population Size : Dimension] [  2 :   35 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1317234039306641]
[Cycles : Iteration : Population Size : Dimension] [  2 :   36 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1354684829711914]
[Cycles : Iteration : Population Size : Dimension] [  2 :   37 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1390219926834106]
[Cycles : Iteration : Population Size : Dimension] [  2 :   38 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1426329612731934]
[Cycles : Iteration : Population Size : Dimension] [  2 :   39 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1461435556411743]
[Cycles : Iteration : Population Size : Dimension] [  2 :   40 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1497794389724731]
[Cycles : Iteration : Population Size : Dimension] [  2 :   41 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1533169746398926]
[Cycles : Iteration : Population Size : Dimension] [  2 :   42 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1570240259170532]
[Cycles : Iteration : Population Size : Dimension] [  2 :   43 :  30 : 10] [Fitness : Time]: [	3388.5873753062523974 ,	0.1605619192123413]
[Cycles : Iteration : Population Size : Dimension] [  2 :   44 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1640523672103882]
[Cycles : Iteration : Population Size : Dimension] [  2 :   45 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1676235198974609]
[Cycles : Iteration : Population Size : Dimension] [  2 :   46 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1712845563888550]
[Cycles : Iteration : Population Size : Dimension] [  2 :   47 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1748799085617065]
[Cycles : Iteration : Population Size : Dimension] [  2 :   48 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1784719228744507]
[Cycles : Iteration : Population Size : Dimension] [  2 :   49 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1820179224014282]
[Cycles : Iteration : Population Size : Dimension] [  2 :   50 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1856534481048584]
[Cycles : Iteration : Population Size : Dimension] [  2 :   51 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1893129348754883]
[Cycles : Iteration : Population Size : Dimension] [  2 :   52 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1928958892822266]
[Cycles : Iteration : Population Size : Dimension] [  2 :   53 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.1964420080184937]
[Cycles : Iteration : Population Size : Dimension] [  2 :   54 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2000160217285156]
[Cycles : Iteration : Population Size : Dimension] [  2 :   55 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2035654783248901]
[Cycles : Iteration : Population Size : Dimension] [  2 :   56 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2072160243988037]
[Cycles : Iteration : Population Size : Dimension] [  2 :   57 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2107499837875366]
[Cycles : Iteration : Population Size : Dimension] [  2 :   58 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2143520116806030]
[Cycles : Iteration : Population Size : Dimension] [  2 :   59 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2179974317550659]
[Cycles : Iteration : Population Size : Dimension] [  2 :   60 :  30 : 10] [Fitness : Time]: [	2786.0273534877637758 ,	0.2216140031814575]
