[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  2] [Fitness : Time]: [	2.4284530611255839 ,	0.0009970664978027]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  2] [Fitness : Time]: [	0.2471384632332845 ,	0.0017700195312500]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  2] [Fitness : Time]: [	0.2471384632332845 ,	0.0024955272674561]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  2] [Fitness : Time]: [	0.2471384632332845 ,	0.0032809972763062]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0040445327758789]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0047805309295654]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0055110454559326]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0063865184783936]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0071725845336914]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0079245567321777]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  2] [Fitness : Time]: [	0.2449095216767080 ,	0.0086101293563843]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0094025135040283]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0101130008697510]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0108541250228882]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0115824937820435]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0123120546340942]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0130770206451416]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  2] [Fitness : Time]: [	0.0764848090304950 ,	0.0137925148010254]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  2] [Fitness : Time]: [	0.0393374481870272 ,	0.0144810676574707]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0152029991149902]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0159444808959961]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0166435241699219]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0173590183258057]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0181565284729004]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0188565254211426]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0195885896682739]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0202785730361938]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  2] [Fitness : Time]: [	0.0114253614914197 ,	0.0209801197052002]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0217925310134888]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  2] [Fitness : Time]: [	0.0093257854376328 ,	0.0224961042404175]
