[Cycles : Iteration : Population Size : Dimension] [  1 :    0 :  30 :  4] [Fitness : Time]: [	1.0000000000000000 ,	0.0035550594329834]
[Cycles : Iteration : Population Size : Dimension] [  1 :    1 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0063359737396240]
[Cycles : Iteration : Population Size : Dimension] [  1 :    2 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0080089569091797]
[Cycles : Iteration : Population Size : Dimension] [  1 :    3 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0095739364624023]
[Cycles : Iteration : Population Size : Dimension] [  1 :    4 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0111830234527588]
[Cycles : Iteration : Population Size : Dimension] [  1 :    5 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0130138397216797]
[Cycles : Iteration : Population Size : Dimension] [  1 :    6 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0145678520202637]
[Cycles : Iteration : Population Size : Dimension] [  1 :    7 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0146849155426025]
[Cycles : Iteration : Population Size : Dimension] [  1 :    8 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0177569389343262]
[Cycles : Iteration : Population Size : Dimension] [  1 :    9 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0193769931793213]
[Cycles : Iteration : Population Size : Dimension] [  1 :   10 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0209469795227051]
[Cycles : Iteration : Population Size : Dimension] [  1 :   11 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0225050449371338]
[Cycles : Iteration : Population Size : Dimension] [  1 :   12 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0249099731445312]
[Cycles : Iteration : Population Size : Dimension] [  1 :   13 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0277609825134277]
[Cycles : Iteration : Population Size : Dimension] [  1 :   14 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0304129123687744]
[Cycles : Iteration : Population Size : Dimension] [  1 :   15 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0325050354003906]
[Cycles : Iteration : Population Size : Dimension] [  1 :   16 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0342180728912354]
[Cycles : Iteration : Population Size : Dimension] [  1 :   17 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0358550548553467]
[Cycles : Iteration : Population Size : Dimension] [  1 :   18 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0374000072479248]
[Cycles : Iteration : Population Size : Dimension] [  1 :   19 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0389890670776367]
[Cycles : Iteration : Population Size : Dimension] [  1 :   20 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0406029224395752]
[Cycles : Iteration : Population Size : Dimension] [  1 :   21 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.0421559810638428]
