[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  3] [Fitness : Time]: [	-657.0636827962995312 ,	0.0102695226669312]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  3] [Fitness : Time]: [	-691.2766101291249470 ,	0.0139640569686890]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  3] [Fitness : Time]: [	-691.2766101291249470 ,	0.0226024389266968]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  3] [Fitness : Time]: [	-737.9483482913847183 ,	0.0274810791015625]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  3] [Fitness : Time]: [	-741.4455695579267740 ,	0.0311645269393921]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  3] [Fitness : Time]: [	-741.4455695579267740 ,	0.0447894334793091]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  3] [Fitness : Time]: [	-741.4455695579267740 ,	0.0473109483718872]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0510139465332031]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0536165237426758]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0556606054306030]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0644274950027466]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0665955543518066]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0686244964599609]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  3] [Fitness : Time]: [	-760.6128077548981992 ,	0.0707565546035767]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  3] [Fitness : Time]: [	-786.2478438993684904 ,	0.0713160037994385]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  3] [Fitness : Time]: [	-786.2478438993684904 ,	0.0735180377960205]
