[Cycles : Iteration : Population Size : Dimension] [  2 :    0 :  30 :  3] [Fitness : Time]: [	13.9181835136550731 ,	0.0024285316467285]
[Cycles : Iteration : Population Size : Dimension] [  2 :    1 :  30 :  3] [Fitness : Time]: [	12.8105633217969856 ,	0.0088214874267578]
[Cycles : Iteration : Population Size : Dimension] [  2 :    2 :  30 :  3] [Fitness : Time]: [	11.7990256647620999 ,	0.0107419490814209]
[Cycles : Iteration : Population Size : Dimension] [  2 :    3 :  30 :  3] [Fitness : Time]: [	9.9816686048401646 ,	0.0229585170745850]
[Cycles : Iteration : Population Size : Dimension] [  2 :    4 :  30 :  3] [Fitness : Time]: [	8.8269265389126073 ,	0.0250151157379150]
[Cycles : Iteration : Population Size : Dimension] [  2 :    5 :  30 :  3] [Fitness : Time]: [	8.2200283527916245 ,	0.0269060134887695]
[Cycles : Iteration : Population Size : Dimension] [  2 :    6 :  30 :  3] [Fitness : Time]: [	7.9139759653613577 ,	0.0352255105972290]
[Cycles : Iteration : Population Size : Dimension] [  2 :    7 :  30 :  3] [Fitness : Time]: [	7.6294756678658500 ,	0.0371705293655396]
[Cycles : Iteration : Population Size : Dimension] [  2 :    8 :  30 :  3] [Fitness : Time]: [	7.4705244335329448 ,	0.0381400585174561]
[Cycles : Iteration : Population Size : Dimension] [  2 :    9 :  30 :  3] [Fitness : Time]: [	7.4705244335329448 ,	0.0398664474487305]
[Cycles : Iteration : Population Size : Dimension] [  2 :   10 :  30 :  3] [Fitness : Time]: [	6.5430860026523412 ,	0.0411241054534912]
[Cycles : Iteration : Population Size : Dimension] [  2 :   11 :  30 :  3] [Fitness : Time]: [	5.9992007048160385 ,	0.0419039726257324]
[Cycles : Iteration : Population Size : Dimension] [  2 :   12 :  30 :  3] [Fitness : Time]: [	5.9992007048160385 ,	0.0434230566024780]
[Cycles : Iteration : Population Size : Dimension] [  2 :   13 :  30 :  3] [Fitness : Time]: [	5.9253235312691483 ,	0.0446029901504517]
[Cycles : Iteration : Population Size : Dimension] [  2 :   14 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0458334684371948]
[Cycles : Iteration : Population Size : Dimension] [  2 :   15 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0469985008239746]
[Cycles : Iteration : Population Size : Dimension] [  2 :   16 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0482304096221924]
[Cycles : Iteration : Population Size : Dimension] [  2 :   17 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0494704246520996]
[Cycles : Iteration : Population Size : Dimension] [  2 :   18 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0544800758361816]
[Cycles : Iteration : Population Size : Dimension] [  2 :   19 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0622994899749756]
[Cycles : Iteration : Population Size : Dimension] [  2 :   20 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0707080364227295]
[Cycles : Iteration : Population Size : Dimension] [  2 :   21 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0732895135879517]
[Cycles : Iteration : Population Size : Dimension] [  2 :   22 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0745924711227417]
[Cycles : Iteration : Population Size : Dimension] [  2 :   23 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0758080482482910]
[Cycles : Iteration : Population Size : Dimension] [  2 :   24 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0769850015640259]
[Cycles : Iteration : Population Size : Dimension] [  2 :   25 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0780915021896362]
[Cycles : Iteration : Population Size : Dimension] [  2 :   26 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0814094543457031]
[Cycles : Iteration : Population Size : Dimension] [  2 :   27 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0831655263900757]
[Cycles : Iteration : Population Size : Dimension] [  2 :   28 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0853945016860962]
[Cycles : Iteration : Population Size : Dimension] [  2 :   29 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0870524644851685]
[Cycles : Iteration : Population Size : Dimension] [  2 :   30 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0885599851608276]
[Cycles : Iteration : Population Size : Dimension] [  2 :   31 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0897550582885742]
[Cycles : Iteration : Population Size : Dimension] [  2 :   32 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0906754732131958]
[Cycles : Iteration : Population Size : Dimension] [  2 :   33 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0916324853897095]
[Cycles : Iteration : Population Size : Dimension] [  2 :   34 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.0922205448150635]
[Cycles : Iteration : Population Size : Dimension] [  2 :   35 :  30 :  3] [Fitness : Time]: [	4.4255684049637090 ,	0.1002556085586548]
[Cycles : Iteration : Population Size : Dimension] [  2 :   36 :  30 :  3] [Fitness : Time]: [	4.0193345674305014 ,	0.1016775369644165]
[Cycles : Iteration : Population Size : Dimension] [  2 :   37 :  30 :  3] [Fitness : Time]: [	4.0193345674305014 ,	0.1030755043029785]
[Cycles : Iteration : Population Size : Dimension] [  2 :   38 :  30 :  3] [Fitness : Time]: [	4.0193345674305014 ,	0.1045579910278320]
[Cycles : Iteration : Population Size : Dimension] [  2 :   39 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1055740118026733]
[Cycles : Iteration : Population Size : Dimension] [  2 :   40 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1065005064010620]
[Cycles : Iteration : Population Size : Dimension] [  2 :   41 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1074304580688477]
[Cycles : Iteration : Population Size : Dimension] [  2 :   42 :  30 :  3] [Fitness : Time]: [	3.9047008339556326 ,	0.1082860231399536]
